0,1,2,3,4,5,6
06:00-06:10,CDR,SONOCARD. Experiment termination,,,,
,FE-1,Morning Inspection,,,,
06:00-06:05,FE-2,Post-sleep,,,,
06:05-06:15,FE-2,Morning Inspection,,,,
06:10-06:20,CDR,,,,,
06:10-06:40,FE-1,Post-sleep,,,,
06:15-06:45,FE-2,,,,,
06:20-06:40,CDR,,,,,
06:40-07:30,"CDR, FE-1",BREAKFAST,,,,
06:45-07:30,FE-2,,,,,
07:30-08:00,"CDR, FE-1",Prep for Work,,,,
07:30-08:00,FE-2,,,,,
08:00-08:15,,Daily Planning Conference (S-band),,,,
08:15-08:30,CDR,SONOCARD. Copy Data to RSE-MED Laptop,,,,
08:15-08:35,FE-2,ART Experiment,,,,
08:30-09:30,"CDR, FE-1",Progress Docking Conference. Tagup with specialists (S-band),,,,
08:35-09:25,FE-2,ART Experiment,,,,
09:25-10:05,Rack transfer and stow,,,,,
09:30-10:30,FE-1,Physical Exercise (VELO + RED) day 2,,,,
09:30-11:30,CDR,Replace Condensate Removal Lines [СМОК] elements between СК1 andСБК1. Tagup with specialists (S-band),,,,
10:05-10:35,FE-2,Prep for CHeCS rack transfer.,,,,
10:35-11:45,"FE-1, FE-2",CHeCS rack transfer,,,,
11:35-13:05,CDR,Physical Exercise (TVIS) day 2,,,,
11:45-12:20,FE-2,Connecting rack umbilical,,,,
12:20-12:50,Rack Umbilical Demate,,,,,
12:45-13:05,FE-1,IMS Update,,,,
13:05-14:05,,LUNCH,,,,
14:05-16:35,FE-1,Antivirus ops on Crew Support Computers – closeout. Tagup with specialists(S-band),,,,
14:05-16:05,CDR,Replace Condensate Removal Lines [СМОК] elements between КР1 andСК1. Tagup with specialists (S-band),,,,
14:05-14:30,FE-2,Rack transfer and stow,,,,
15:25-15:35,CWC Audit,,,,,
15:35-17:05,Physical Exercise (RED),,,,,
16:10-16:40,CDR,PLASMA CRYSTAL-3 PLUS. Telescience hardware setup Tagup withspecialists as necessary (S-band),,,,
16:35-18:05,FE-1,Physical Exercise (TVIS) day 2,,,,
16:40-16:55,CDR,IWIS Reprogramming,,,,
GMT,CREW,ACTIVITY,,,,
06:00-06:10,,Morning Inspection,,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:30,,BREAKFAST,,,,
07:30-07:40,,Prep for Work,,,,
07:40-07:55,,Daily Planning Conference (S-band),,,,
07:55-08:10,,Prep for Work,,,,
08:10-08:25,,ISS Crew and ГОГУ (RSA Flight Control Team) Weekly Conference (S-band),,,,
08:25-09:55,FE-2,OUM-PFE – hardware installation,,,,
08:40-08:45,FE-1,ГФИ-1 (Geophysical Studies). Start SONY DCR-TRV900E Battery Charge,,,,
08:45-09:05,FE-1,MATRYOSHKA-R. Monitoring Lulin-5 Readings,,,,
08:55-09:55,CDR,"Physical Exercise (TVIS), day 1",,,,
09:35-09:55,FE-1,IMS Update,,,,
09:55-10:35,FE-1,СОЖ Maintenance,,,,
09:55-10:40,CDR,OUM-PFE - operator,,,,
09:55-10:40,FE-2,OUM-PFE – evaluation protocol,,,,
10:35-12:05,FE-1,Cleaning ГЖТ4 (Gas-Liquid Heat Exchanger) ВТ-7 Fan Screen,,,,
10:40-12:10,CDR,"Physical Exercise (TVIS), day 1",,,,
10:40-11:15,FE-2,OUM-PFE deactivation and stowage 1,,,,
11:15-11:20,FE-2,Lab Window Shutter Close,,,,
11:20-12:50,FE-2,Physical Exercise (RED),,,,
12:05-12:10,FE-1,ГФИ-1. Terminate SONY DCR-TRV900E Battery Charge,,,,
12:10-13:10,CDR,CARDIO-LBNP. Experiment set up (for assistant). Tagup with specialists(S-band),,,,
12:10-13:10,FE-1,CARDIO-LBNP. Experiment setup. Tagup with specialists (S-band),,,,
12:50-13:50,FE-2,Flow Meter Battery Installation.,,,,
13:10-13:30,"FE-1, CDR(assists)",CARDIO-LBNP. Taking measurements during comm session. То=13:08.Tagup with specialists (VHF),,,,
13:30-14:00,"FE-1, CDR",CARDIO-LBNP. Closeout Ops. Tagup with specialists (S-band),,,,
14:00-15:00,,LUNCH,,,,
15:00-16:00,FE-1,RELAXATION. Equipment setup. Tagup with specialists (S-band),,,,
15:00-15:45,FE-2,SLEEP. Activation of Actiwatch hardware and loading data.,,,,
15:00-15:40,CDR,Cleaning ВД1 and ВД2 air ducts in DC-1,,,,
15:40-18:40,CDR,Replacement  and checkout of HAM radio equipment. Tagup withspecialists (as necessary) (S-band),,,,
15:45-16:45,FE-2,Clean Bench functional test,,,,
16:00-17:30,FE-1,"Physical Exercise (TVIS), day 1",,,,
16:45-17:15,FE-2,PCS power down,,,,
17:15-17:30,FE-2,Food frequency questionnaire,,,,
17:30-17:35,FE-2,O2 level check,,,,
GMT,CREW,,ACTIVITY,,,
07:30-07:40,,Morning Inspection,,,,
07:40-08:10,,Post-sleep,,,,
08:10-09:00,,BREAKFAST,,,,
10:35-10:55,CDR,Private Family Conference (Ku + S-band),,,,
10:40-12:10,FE-1,"Physical Exercise (TVIS), day 1",,,,
11:15-12:45,FE-2,Physical Exercise (RED),,,,
12:10-12:30,FE-1,Private Family Conference (Ku + S-band),,,,
12:15-13:45,CDR,"Physical Exercise (TVIS), day 1",,,,
12:45-13:45,FE-2,Physical Exercise (CEVIS),,,,
13:45-14:15,,Weekly Planning Conference (S-band),,,,
,,,,,,
14:15-15:15,,LUNCH,,,,
15:15-15:25,CDR,IWIS Data Download,,,,
15:40-15:55,,SSC Laptop Wi-Fi test in JEM,,,,
15:55-16:05,,SSC Laptop Wi-Fi test in Columbus,,,,
,,Power on Utility DC to DC Converter Unit (UDC) and Microgravity,,,,
15:30-15:40,,,,,,
,FE-2,Measurement Apparatus (MMA),,,,
16:05-16:15,,SSC 11 Laptop Wi-Fi deactivation,,,,
16:15-16:25,,JSL transition to Wi-Fi,,,,
16:25-19:25,,SPHERES – session,,,,
17:25-17:35,CDR,IWIS Deactivation,,,,
17:30-18:30,FE-1,,,,,
,,"Physical Exercise (VELO + RED), day 1",,,,
18:30-19:30,CDR,,,,,
18:50-19:30,FE-1,СОЖ Maintenance,,,,
19:25-19:30,FE-2,"Transfer of TVIS, RED, and HRM data to MEC",,,,
19:30-20:00,,DINNER,,,,
20:00-20:30,,Daily Food Prep,,,,
,,,,,,
20:30-21:30,,Pre-sleep,,,,
21:30-06:00,,SLEEP,,,,
,CDR,ECON. Observations and photography,,,,
Task List,FE-1,URAGAN. Observations and photography,,,,
,"CDR,FE-1",MBE-15. Pilot-M Experiment,,,,
GMT,CREW,ACTIVITY,,,,
06:00-06:10,CDR,Morning Inspection,,,,
06:00-06:10,FE-1,SONOCARD. Experiment Closeout,,,,
06:00-06:05,FE-2,Post-sleep,,,,
06:05-06:15,FE-2,Morning Inspection,,,,
06:10-06:20,FE-1,Morning Inspection,,,,
06:10-06:40,CDR,Post-sleep,,,,
06:15-06:45,FE-2,,,,,
06:20-06:50,FE-1,,,,,
06:40-07:30,CDR,BREAKFAST,,,,
06:45-07:30,FE-2,,,,,
06:50-07:30,FE-1,,,,,
07:30-07:50,,Prep for Work,,,,
07:50-08:05,,Daily Planning Conference (S-band),,,,
08:05-08:20,FE-1,SONOCARD. Copy Data to RSE-MED Laptop,,,,
08:05-08:20,FE-2,Prep for Work,,,,
08:05-08:45,CDR,RESPIRATION. Experiment setup. Tagup with specialists (S-band),,,,
08:20-09:00,FE-1,"Filling EDV (KOV) for Elektron from CWC 1051,1064",,,,
08:20-09:50,FE-2,Physical Exercise (RED),,,,
08:45-09:00,CDR,Verify ИП-1 Flow Meter Positions,,,,
09:00-09:40,FE-1,СОЖ Maintenance,,,,
