,0,1,count
771,removal,sampling,4
772,removal,fan,44
773,removal,cleaning,17
774,removal,maintenance,21
775,removal,сож,0
776,removal,ssc,1
777,removal,support,8
778,removal,cleanup,0
779,removal,cable,14
780,removal,cargo,3
781,removal,file,4
782,removal,comm,6
783,removal,config,14
784,removal,reconfig,6
785,removal,test,33
786,removal,check,18
787,removal,monitoring,22
788,removal,water,11
789,removal,private,0
790,removal,icv,1
791,removal,fgb,25
792,removal,measurements,0
793,removal,lab,30
794,removal,battery,17
795,removal,status,0
796,removal,charge,3
797,removal,payload,9
798,removal,video,68
799,removal,review,0
800,removal,msg,3
801,removal,experiment,23
802,removal,procedure,1
803,removal,inspection,29
804,removal,laptop,11
805,removal,tank,9
806,removal,morning,0
807,removal,soyuz,75
808,removal,unit,81
809,removal,replacement,17
810,removal,bag,15
811,removal,filter,19
812,removal,start,1
813,removal,photo,4
814,removal,regeneration,0
815,removal,cartridge,10
816,removal,бмп,13
817,removal,tagup,85
818,removal,specialists,63
819,removal,activation,82
820,removal,preparation,15
821,removal,installation,50
822,removal,dc1,77
823,removal,node,47
824,removal,equipment,63
825,removal,prep,37
826,removal,return,21
827,removal,stow,107
828,removal,exercise,1
829,removal,physical,0
830,removal,day,0
831,removal,tvis,14
832,removal,ims,8
833,removal,collection,0
834,removal,hrf,23
835,removal,blood,6
836,removal,urine,2
837,removal,tv,91
838,removal,drying,2
839,removal,kuband,39
840,removal,iss,25
841,removal,progress,147
842,removal,repress,3
843,removal,mcc,23
844,assembly,temperature,15
845,assembly,eva,22
846,assembly,item,5
847,assembly,wrs,59
848,assembly,page,4
849,assembly,recovery,69
850,assembly,power,11
851,assembly,rack,36
852,assembly,loop,3
853,assembly,closure,4
854,assembly,emergency,0
855,assembly,hardware,94
856,assembly,setup,17
857,assembly,camcorder,0
858,assembly,edv,13
859,assembly,stowage,15
860,assembly,ops,28
861,assembly,closeout,4
862,assembly,radio,1
863,assembly,ham,2
864,assembly,session,1
865,assembly,data,7
866,assembly,transfer,40
867,assembly,questionnaire,0
868,assembly,downlink,10
869,assembly,mec,7
870,assembly,air,55
871,assembly,sm,49
872,assembly,sampling,3
873,assembly,fan,49
874,assembly,cleaning,3
875,assembly,maintenance,7
876,assembly,сож,0
877,assembly,ssc,0
878,assembly,support,2
879,assembly,cleanup,3
880,assembly,cable,4
881,assembly,cargo,3
882,assembly,file,4
883,assembly,comm,6
884,assembly,config,22
885,assembly,reconfig,13
886,assembly,test,6
887,assembly,check,21
888,assembly,monitoring,3
889,assembly,water,97
890,assembly,private,0
891,assembly,icv,0
892,assembly,fgb,6
893,assembly,measurements,0
894,assembly,lab,28
895,assembly,battery,15
896,assembly,status,0
897,assembly,charge,14
898,assembly,payload,1
899,assembly,video,94
900,assembly,review,1
901,assembly,msg,1
902,assembly,experiment,4
903,assembly,procedure,4
904,assembly,inspection,3
905,assembly,laptop,2
906,assembly,tank,102
907,assembly,morning,0
908,assembly,soyuz,32
909,assembly,unit,14
910,assembly,replacement,13
911,assembly,bag,4
912,assembly,filter,89
913,assembly,start,5
914,assembly,photo,37
915,assembly,regeneration,1
916,assembly,cartridge,1
917,assembly,бмп,0
918,assembly,tagup,29
919,assembly,specialists,16
920,assembly,activation,27
921,assembly,preparation,6
922,assembly,installation,35
923,assembly,dc1,28
924,assembly,node,43
925,assembly,equipment,10
926,assembly,prep,28
927,assembly,return,3
928,assembly,stow,29
929,assembly,exercise,6
930,assembly,physical,0
931,assembly,day,1
932,assembly,tvis,6
933,assembly,ims,5
934,assembly,collection,0
935,assembly,hrf,3
936,assembly,blood,0
937,assembly,urine,47
938,assembly,tv,19
939,assembly,drying,0
940,assembly,kuband,2
941,assembly,iss,39
942,assembly,progress,21
943,assembly,repress,1
944,assembly,mcc,1
