0,1,2,3,4,5,7
TIME,CREW,,,,,
14:00-14:05,FE-6,Video Camera Assembly (VCA1) Adjustment,,,,
14:05-15:05,FE-6,Centralized Cabin Filter (CCF) Replacement,,,,
14:15-14:45,CDR,Start EMU Battery Charge,,,,
14:45-15:00,CDR,RGN - Terminate drain into ЕДВ,,,,
15:00-16:30,CDR,EVA Tool Config,,,,
15:10-16:10,FE-6,EVA Tool Config,,,,
16:00-17:00,FE-4,"Physical Exercise (TVIS), Day 3",,,,
16:10-16:20,FE-6,Activation of SSC21 AND SSC19 before 32S Arrival,,,,
TIME,CREW,,,,,
,,Morning Inspection.,,,,
06:00-06:10,FE-4,SM ПСС [Caution & Warning Panel] Test,,,,
,,"Reload Laptop RS2(1) and RSS1,2",,,,
06:00-06:05,CDR,Reaction Self Test,,,,
06:00-06:10,FE-6,Morning Inspection,,,,
06:05-06:15,CDR,Morning Inspection,,,,
06:10-06:40,"FE-4, FE-6",Post-sleep,,,,
06:15-06:40,CDR,Post-sleep,,,,
06:40-07:30,,BREAKFAST,,,,
07:30-07:50,,Work Prep,,,,
07:50-08:05,,Daily Planning Conference (S-band),,,,
08:05-08:20,FE-4,On MCC Go БМП Ф1 Absorption Cartridge Regeneration (start),,,,
08:05-09:05,CDR,Physical Exercise T2,,,,
08:05-08:35,FE-6,USND2-ER8. Hardware Setup and Power On,,,,
,,LCS (LASER COMMUNICATION SYSTEM). Copying data from RSE-LCS,,,,
08:20-08:50,FE-4,,,,,
,,laptop to RSS2 and data downlink,,,,
08:35-09:00,FE-6,ICV-USND2 LAB.  Preparation,,,,
08:50-09:20,FE-4,Study of cardiac bioelectric activity at rest.  Tagup with specialists (S-band),,,,
09:00-09:55,FE-6,ICV Exercise. Scan 1,,,,
09:05-09:55,CDR,ICV-LAB. Assistance,,,,
,,ALBEDO. Photo Spectral System (ФСС) Hardware Test. Tagup with,,,,
09:20-10:20,FE-4,,,,,
,,specialists (S-band),,,,
10:10-10:45,CDR,ICV-LAB. Assistance,,,,
10:10-10:55,FE-6,ICV Exercise,,,,
10:20-11:50,FE-4,"Physical Exercise (TVIS), Day 3",,,,
10:45-12:15,CDR,OGS Activated Carbon/Ion Exchange (ACTEX) Unit Pre-Gather,,,,
10:55-11:25,FE-6,USND2-COL. Hardware setup,,,,
11:25-12:55,FE-6,Physical Exercise (ARED),,,,
11:50-12:50,FE-4,ATV Control Panel Removal in ISS SM,,,,
12:15-12:30,CDR,USND2- Hardware Power Off and Stowage,,,,
12:30-12:40,CDR,ALTEA Dosimeter Deactivation,,,,
12:50-13:50,FE-4,LUNCH,,,,
12:55-13:55,"CDR, FE-6",LUNCH,,,,
13:55-14:05,FE-6,Continuous Blood Pressure Device Retrieval,,,,
13:55-14:40,CDR,Flush cartridges of contaminates prior to OGS R&R,,,,
13:50-14:50,FE-4,Removal of Antenna Switch Box (БУАП) from SM ISS,,,,
14:10-15:00,FE-6,Integrated Cardiovascular Ambulatory Monitoring Setup,,,,
14:40-16:40,CDR,Power Control Electronics Unit (CEU) from an Alternate Source,,,,
14:50-15:20,FE-4,SM Interior Reconfig to Initial Position after Removal of PCE Box,,,,
13:00-14:00,,LUNCH,,,,
14:00-15:00,FE-4,"Cleaning FGB ГЖТ Detachable Screens 1, 2, 3",,,,
14:00-14:05,FE-6,ENERGY Diet Log of Lunch,,,,
14:05-14:35,FE-6,DRAGON1 - Center Stack Removal,,,,
14:15-14:25,CDR,Crew Prep for PAO,,,,
14:25-14:45,CDR,PAO Event,,,,
14:35-14:55,FE-6,DECLIC Removable Hard Disk Drive (RHDD) Exchange,,,,
14:45-15:30,CDR,Coldbag Unpack,,,,
15:00-16:00,FE-4,"Cleaning ventilation grilles on FGB interior panels (panels 201, 301, 401)",,,,
15:00-15:05,FE-6,EHS - Air Quality Monitor (AQM) End,,,,
15:05-15:20,FE-6,Private Medical Conference,,,,
15:20-16:50,FE-6,Physical Exercise (ARED),,,,
15:30-15:40,CDR,NanoRacks Historical Video Setup,,,,
15:40-15:55,CDR,NanoRacks Module 9 Initial Activation,,,,
,,"Replacing filters in FGB Dust Collectors ПС1, ПС2 / Install #604003",,,,
16:00-16:50,FE-4,"(00039056R) and #604009 (00039062R) (ФГБ1ПГО_2_219_1, bag",,,,
,,410-32 (00054260R)). Reflect changes in IMS,,,,
16:05-16:10,CDR,P/L Playback Start,,,,
16:10-16:15,CDR,GLACIER. Dragon Status Check,,,,
16:15-16:45,CDR,GLACIER.  Dragon Sample Remove,,,,
16:45-16:50,CDR,Payload Playback Stop,,,,
16:50-16:55,FE-6,CQ Laptop Power On,,,,
16:50-18:20,CDR,Physical Exercise (ARED),,,,
16:50-17:10,FE-4,IMS Update,,,,
16:55-17:55,FE-6,DRAGON  Transfers,,,,
17:10-18:10,FE-4,"Physical Exercise (VELO), Day 4",,,,
17:55-18:05,FE-6,DRAGON Transfers Conference,,,,
18:10-18:25,FE-4,СТТС comm system switchover to the primary set,,,,
18:20-18:30,CDR,SSRMS Checkout,,,,
18:25-18:50,"FE-4, FE-6",Evening Work Prep,,,,
18:30-18:50,CDR,Evening Work Prep,,,,
18:50-19:05,,Daily Planning Conference (S-band),,,,
19:05-19:30,"CDR, FE-4",Evening Work Prep,,,,
19:05-19:25,FE-6,Evening Work Prep,,,,
19:25-19:30,FE-6,ENERGY Diet Log of Dinner,,,,
19:30-21:25,FE-6,Pre-sleep,,,,
19:35-21:25,CDR,Pre-sleep,,,,
19:30-21:30,FE-4,Pre-sleep,,,,
19:30-19:35,CDR,P/TV Playback Start,,,,
21:25-21:30,CDR,P/TV Playback Stop,,,,
,21:30-06:00,,FE-4,,SLEEPECON Observations and Photography,
,Task List,,,,,
,Preparation of reports for Roskosmos site,,,,,
,URAGAN Observations and Photography,,,,,
TIME,CREW,,,,,
06:00-06:10,"CDR,FE-6,FE-1, FE-2,FE-3",Morning inspection,,,,
,,Morning inspection.,,,,
,,Reboot Laptop RS2(1),,,,
06:00-06:10,FE-4,"Reload Laptops RSS1, RSS2  SM [ПСС] Caution & Warning Panel Test",,,,
,,Visual inspection of [СМ-У] connector on [МНР-НС] separator (behind,,,,
,,Panel 139 of [АСУ]),,,,
