0,1,2
10:30-11:30,FE-2,ФУ ВЕЛО - 3
10:30-12:00,FE-5,ФУ ARED
10:45-11:00,CDR,CGBA - status check and monitor activation
11:00-12:00,CDR,ФУ T2
11:30-13:00,FE-2,ФУ БД-2 - 3
12:00-13:00,FE-5,ФУ T2
12:50-13:50,FE-3,Lunch
,"CDR,FE-1,",
13:00-14:00,"FE-2,FE-4,",Lunch
,FE-5,
13:50-14:10,FE-3,PLATE-PL - Traning procedure review
14:00-14:40,FE-1,СОЖ Maintenance
14:00-14:20,FE-5,WRM - condensate transfer - start
14:10-14:25,FE-3,APEX. OBT
14:25-14:40,FE-3,APEX. Procedure review
14:40-14:45,FE-3,APEX. Sample removal
14:45-15:00,FE-3,APEX. Placement of board
15:00-15:10,FE-5,WRM - condensate transfer - end
15:00-16:30,FE-3,ФУ ARED
16:00-17:00,FE-4,ФУ БД-2 – 3
16:30-17:30,FE-3,ФУ T2
16:30-18:00,CDR,ФУ ARED
17:00-18:00,FE-1,ФУ БД-2 – 4
18:00-19:30,FE-1,ФУ ARED
19:10-19:25,FE-3,FE-3 - voice entry
19:25-21:25,"CDR,FE-5",Pre-sleep
19:25-19:30,FE-3,PETRI - turn off lighting
,"FE-1,FE-2,",
19:30-21:30,,Pre-sleep
,"FE-3,FE-4",
21:25-21:30,CDR,Reaction self-test
21:25-21:30,FE-5,Saliva sampling reminder
21:30-06:00,.,Sleep
,,Preparation of reports for Roscosmos site
,"FE-1,FE-2,",
,,ECON-M. Observations And Photography
Task List,FE-4,
,,Science data copy to replaceable HDs
,"FE-1,FE-2",Testing СПО module of RS МИС system using laptop RSK2
,,Preparation of reports for Roscosmos site
Task List,"FE-1,FE-2",СПО МИС test processing on RSOS ISS
,,ECON-M. Observations and Photography
TIME,CREW,
06:00-06:10,"CDR, FE-1, FE-5",Morning Inspection
06:00-06:10,FE-2,Morning Inspection. Laptop RS1(2) Reboot
06:00-06:05,FE-3,Reading REMINDER
06:00-06:10,FE-4,"Morning Inspection. RSS1,2 Reboot"
06:05-06:20,FE-3,HRF - Sample collection in preparation for cold stowage insertion.
,"CDR, FE-1,",
06:10-06:40,"FE-2, FE-4,",Post-sleep
,FE-5,
06:20-06:25,FE-3,HRF - MELFI Sample Insertion
06:25-06:45,FE-3,HRF Urine Sample Collection
06:40-07:30,"CDR, FE-2, FE-4, FE-5",BREAKFAST
06:40-07:30,FE-1,BREAKFAST. SM ПСС Test (after breakfast)
06:45-06:50,FE-3,HRF - Sample MELFI Insertion
06:50-07:30,FE-3,"Breakfast, Post-sleep"
,,Weekly Housekeeping SM Ventilation Subsystem Preventive
07:30-07:55,FE-1,"Maintenance, Group E  Cleaning FGB ЦВ2"
,,Inspection of Air Conditioner
07:30-07:55,FE-2,Weekly Housekeeping.  Cleaning Auxiliary Computer System (ВКС) Laptops
07:30-07:35,FE-5,PETRI - Turning Lights On
07:30-10:30,"CDR, FE-3",Weekly Housekeeping
07:35-10:35,FE-5,Weekly Housekeeping
07:55-08:10,"FE-1, FE-2",Ham Radio Session
,,Weekly Housekeeping SM Ventilation Subsystem Preventive
08:10-09:30,FE-1,"Maintenance, Group E  FGB ЦВ2 Fan Cleaning"
,,Inspection of Air Conditioner
