0,1,2,3
06:00-06:10,FE-4,"RSS1,2 Reboot / r/g 1009 step 1",
,,Laptop RS1(2) Reboot,
06:00-06:10,FE-5,Morning Inspection,
06:00-06:05,FE-6,REACTION - Self-reaction test,
06:05-06:15,FE-6,Post-sleep,
06:10-06:40,"FE-2, FE-4, FE-5",Post-sleep,
06:15-06:40,"CDR, FE-3, FE-6",BREAKFAST,
06:40-07:05,"CDR, FE-2, FE-4",Daily Planning Conference (S-band),
06:40-06:50,"FE-3, FE-5, FE-6",Daily Planning Conference (S-band),
06:50-07:10,FE-3,BREAKFAST,
06:50-07:20,FE-5,BREAKFAST,
06:50-07:15,FE-6,BREAKFAST,
07:05-07:25,CDR,BREAKFAST,
07:05-07:55,"FE-2, FE-4",BREAKFAST,
07:10-07:20,FE-3,Camera Test prior to EVA,
07:15-07:25,FE-6,Starting SSC application for EVA viewing from the LAB,
07:20-07:25,FE-3,Powerdown the CUCU for US EVA-25,
07:20-07:25,FE-5,ACS -  Atmosphere Control and Supply (ACS) O2 High Pressure Configuration,
07:25-09:30,"CDR, FE-3, FE-5",EVA In-Suit Light Exercise (ISLE) Preparation,
07:25-09:25,FE-6,EVA In-Suit Light Exercise (ISLE) Preparation,
07:55-08:20,FE-2,Work Prep,
07:55-08:15,FE-4,Work Prep,
08:15-08:25,FE-4,Comm configuration for EVA from Airlock,
08:20-10:20,FE-2,BAR Experiment Ops,
08:25-08:35,FE-4,SEINER. Photo Spectral System (ФСС) Battery Charge (start),
08:40-09:40,FE-4,"VELO Exercise, Day 1",
09:25-09:30,FE-6,ACS-HP O2 - Bring system to nominal configuration,
09:30-09:45,"CDR, FE-3, FE-5, FE-6",EMU Prep for EVA,
09:45-11:40,"CDR, FE-3, FE-5, FE-6",Prebreathe in EMU,
10:20-11:50,"FE-2, FE-4",Life On The Station Photo and Video,
11:40-12:10,"CDR, FE-3, FE-5, FE-6",Crew Lock Depress,
11:55-12:15,FE-4,Air Heater Fan [БВН] Screen Cleaning in ТК 711БО,
12:00-13:30,FE-2,ARED Exercise,
12:10-12:15,"CDR, FE-3, FE-5, FE-6",Post Depress and A/L Egress,
12:15-12:55,"CDR, FE-6",SSRMS - APFR Ingress Monitoring,
12:15-12:30,"FE-3,FE-5",Crew Lock Egress,
12:15-13:05,FE-4,SEINER. Observation and Photography using FSS,
12:30-12:45,FE-3,Spare Pump Module (PM) Prep,
12:30-13:30,FE-5,Spare Pump Module (PM) Prep,
12:45-13:00,FE-3,FE-5 SSRMS Ingress,
12:55-18:00,"CDR, FE-6",SSRMS Support for EVA Operations,
13:00-13:30,FE-3,Spare Pump Module (PM) Prep,
13:15-13:45,FE-4,Audit of Lights in RS MRM1,
13:30-14:30,FE-2,LUNCH,
13:30-14:15,"FE-3, FE-5",Removal of Spare Pump Module (PM),
13:45-14:45,FE-4,LUNCH,
14:15-14:55,"FE-3, FE-5",Installation of Spare PM (bolts only),
14:30-15:30,FE-2,"Cleaning FGB ГЖТ Detachable Screens 1, 2, 3",
14:45-15:25,FE-4,EDV [KOB] Separation for Elektron,
14:55-15:20,FE-3,Spare Pump Module Electrical Connections,
14:55-15:20,FE-5,Venting Spare Pump Module,
15:20-17:20,"FE-3, FE-5",Mating Spare Pump Module (PM) QDs,
15:25-16:05,FE-4,СОЖ Maintenance,
15:30-15:45,FE-2,ИП-1 Flow Sensor Position Check,
15:45-17:30,FE-2,Life On The Station Photo and Video,
16:20-16:50,FE-4,VZAIMODEISTVIYE Experiment Ops,
16:50-18:20,FE-4,"БД-2 Exercise, Day 1",
17:20-17:45,FE-3,FE-5 SSRMS Egress,
17:20-18:20,FE-5,Cleanup and A/L Ingress,
17:45-18:20,FE-3,Cleanup and A/L Ingress,
18:05-19:05,FE-2,"БД-2 Exercise, Day 4",
18:15-19:15,CDR,"VELO Exercise, Day 1",
18:20-18:25,"FE-3, FE-5, FE-6",Crew Lock Pre-Repress,
18:20-18:35,FE-4,Evening Work Prep,
18:25-18:35,"FE-3, FE-5, FE-6",Crew Lock Repress,
18:35-19:35,"FE-3, FE-4,",Post-EVA Closeout Ops,
TIME,CREW,ACTIVITY,
06:00-06:10,CDR,"Morning Inspection, Laptop RS1(2) Reboot",
06:00-06:10,"FE-2, FE-3, FE-5, FE-6",Morning Inspection,
06:00-06:10,FE-4,"Morning Inspection, Laptop RSS1,2, Reboot 1",
,"CDR, FE-2,",,
06:10-06:40,"FE-3, FE-4,",Post-sleep,
,FE-5,,
06:10-06:30,FE-6,Post-sleep,
06:30-06:55,FE-6,BREAKFAST,
06:40-07:30,"CDR, FE-3, FE-4, FE-5",BREAKFAST,
06:40-07:30,FE-2,BREAKFAST  SM ПСС (Caution & Warning Panel) Test (after breakfast),
06:55-07:15,FE-6,HAM Radio Session,
07:15-07:30,FE-6,BREAKFAST,
07:30-10:30,"FE-3, FE-5",Weekly Housekeeping,
