0,1,2
18:15-18:35,FE-5,PAO Event
18:35-19:20,FE-5,Pre-sleep
19:20-19:30,,Crew Prep for PAO
19:30-20:12,,PAO Event
20:39-21:25,,PAO Event
21:25-21:30,CDR,REACTION - Self-reaction test
21:30-06:00,,SLEEP
,,SEINER Ocean Observations
Task List,FE-4,ECON-M. Observations and Photography
,,URAGAN Observations and Photography
TIME,CREW,
12:00-12:05,CDR,REACTION - Self-reaction test
,,Morning Inspection.
,,Laptop RS1(2) Reboot
12:00-12:10,FE-1,
,,Inspection of СМ-У connector on МНР-НС separator pump behind АСУ
,,panel 139
12:00-12:10,FE-2,Morning Inspection. SM ПСС (Caution & Warning Panel) Test
12:00-12:05,FE-3,Reading REMINDER
12:00-12:10,FE-4,"Morning Inspection. RSS1,2 Reboot"
12:00-12:10,FE-5,Morning Inspection
12:05-12:10,"CDR,FE-3",Reading REMINDER
,"CDR,FE-1,",
12:10-12:40,"FE-2,FE-4,",Post-sleep
,FE-5,
12:10-12:25,FE-3,HRF Saliva Sample Collection
12:25-12:30,FE-3,HRF - MELFI Sample Insertion
12:30-12:50,FE-3,Post-sleep
,"CDR,FE-1,",
12:40-13:30,,BREAKFAST
,"FE-4,FE-5",
12:40-13:30,FE-2,Breakfast
12:50-13:30,FE-3,Breakfast
13:30-13:55,.,Daily Planning Conference (S-band)
13:55-14:05,CDR,Work Prep
,"FE-1,FE-2,",
13:55-14:15,,Work Prep
,"FE-3,FE-4",
13:55-14:25,FE-5,SODI - Packing FLASH disks for return
,,ТК 710 Packing
14:15-17:25,FE-1,
,,Setup of GoPro HERO3 cameras in ТК 710 [СА]
14:15-14:55,FE-4,Filling (separation) of EDV [KOV] for Elektron
14:25-14:30,FE-5,SODI - Kit transfers for return
14:30-15:00,FE-3,HRF Blood Draw
14:30-14:45,FE-5,HRF - Blood collection assistance
14:45-15:00,FE-5,Condensate tank transfer to CWC
14:55-15:10,FE-2,CASKAD. Bioreactor Removal from ТБУ-В and Transfer to ТК
14:55-15:35,FE-4,СОЖ Maintenance
15:00-15:05,FE-3,HRF - P/L Stowage
15:00-15:10,FE-5,WRS Water Sample Analysis
15:05-15:30,FE-3,SALMARK - Health Assessment Questionnaire
15:10-15:15,CDR,USND2 - Hardware activation
15:10-15:20,FE-5,ISS HAM - Radio Deactivation
15:15-17:20,CDR,SPRINT. Scan operations
15:20-15:35,FE-5,Condensate tank transfer to CWC (end)
00:05-00:20,FE-5,Journal Entry
00:15-00:20,FE-4,On MCC GO Resetting MRM2-ТК PEV to CLOSED position.
,"CDR,FE-4,",
00:20-00:35,,Daily Planning Conference (S-band)
,FE-5,
00:35-01:35,FE-4,ISTOCHNIK-M Preparation For Measurements. Tagup with specialists
00:45-01:35,CDR,Evening Work Prep
00:50-01:40,FE-5,Evening Work Prep
01:35-03:35,CDR,Pre-sleep
01:35-02:20,FE-4,Pre-sleep
01:40-03:40,FE-5,Pre-sleep
,,ISTOCHNIK-M. Activation of TLM Recording Mode from ТК. Tagup with
02:20-03:00,FE-4,
,,specialists
03:00-03:25,FE-4,ISTOCHNIK-M Closeout Ops
03:30-03:40,FE-4,Nominal Comm Reconfig after ТК 710 Landing
03:35-03:40,CDR,REACTION - Self-reaction test
03:40(11.03.14)-,"CDR,FE-4,",
,,SLEEP
06:00 (12.03.14),FE-5,
,,ECON-M. Observations and Photography
Task List,FE-4,
,,IMS Update
TIME,CREW,
,,Morning Inspection.
06:00-06:10,FE-4,Laptop RS1(2) Reboot
,,SM ПСС (Caution & Warning Panel) Test
06:00-06:10,"CDR, FE-5",Morning Inspection
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-07:45,,Daily Planning Conference (S-band)
07:45-08:00,FE-4,Work Prep
07:45-08:05,FE-5,Work Prep
07:45-08:00,CDR,Work Prep
08:00-08:15,CDR,CFE-ICF - Test Payload Review
08:00-08:30,FE-4,Photography and inspection of АСП-О hatch rubber seals. File Downlink
08:05-08:15,FE-5,WRS Water Sample Analysis
08:15-08:35,CDR,ISS Crew / SSIPC FD Conference
08:30-10:20,FE-4,SM Ventilation System Preventive Maintenance. Group В1
08:35-08:45,CDR,CIR - Hardware Setup
08:45-09:45,CDR,T2 Exercise
09:25-10:55,FE-5,ARED Exercise
10:00-10:15,CDR,CIR - Upper Rack Doors Open
10:15-10:45,CDR,CIR - Replacement of equipment element and video recording
10:20-11:00,FE-4,СОЖ Maintenance
10:45-10:55,CDR,CIR - R Upper Rack Doors Close
10:55-11:55,"CDR, FE-5",EMU - Water Line Vent Tube Assembly (WLVTA) Remove & Replace
11:00-12:00,FE-4,"VELO Exercise, Day 2"
11:55-12:00,FE-5,TOCA Data Recording
12:00-12:55,FE-4,SEINER Ocean Observations
12:00-13:00,FE-5,T2 Exercise
12:05-13:35,CDR,ARED Exercise
12:55-13:55,FE-4,LUNCH
13:35-14:35,"CDR, FE-5",LUNCH
14:10-16:40,FE-4,Urine Transfer from EDV-U to ТКГ 422 Rodnik БВ2 tank
14:35-15:35,"CDR, FE-5",EMU - Water Line Vent Tube Assembly (WLVTA) Remove & Replace
15:35-19:05,"CDR, FE-5",EMU - Water Line Vent Tube Assembly (WLVTA) Remove & Replace
16:40-18:10,FE-4,"БД-2 Exercise, Day 2"
18:40-19:05,FE-4,Evening Work Prep
19:05-19:20,,Daily Planning Conference (S-band)
19:20-19:30,FE-4,Evening Work Prep
19:30-21:30,"CDR, FE-5",Pre-sleep
